dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
1903-03-01,6.759,0.389,Berlin,Germany,52.24N,13.14E
1903-04-01,5.951,0.446,Berlin,Germany,52.24N,13.14E
1903-05-01,14.021,0.298,Berlin,Germany,52.24N,13.14E
1903-06-01,16.163,0.47,Berlin,Germany,52.24N,13.14E
1903-07-01,18.109,0.369,Berlin,Germany,52.24N,13.14E
1903-08-01,16.983,0.261,Berlin,Germany,52.24N,13.14E
1903-09-01,14.582,0.44,Berlin,Germany,52.24N,13.14E
1903-10-01,10.011,0.391,Berlin,Germany,52.24N,13.14E
1903-11-01,4.872,0.502,Berlin,Germany,52.24N,13.14E
1903-12-01,-0.536,0.639,Berlin,Germany,52.24N,13.14E
1904-01-01,-1.012,0.819,Berlin,Germany,52.24N,13.14E
1904-02-01,1.365,0.624,Berlin,Germany,52.24N,13.14E
1904-03-01,3.618,0.364,Berlin,Germany,52.24N,13.14E
1904-04-01,9.475,0.252,Berlin,Germany,52.24N,13.14E
1904-05-01,13.068,0.293,Berlin,Germany,52.24N,13.14E
1904-06-01,16.372,0.34,Berlin,Germany,52.24N,13.14E
1904-07-01,19.598,0.377,Berlin,Germany,52.24N,13.14E
1904-08-01,17.945,0.371,Berlin,Germany,52.24N,13.14E
1904-09-01,13.389,0.326,Berlin,Germany,52.24N,13.14E
1904-10-01,8.925,0.271,Berlin,Germany,52.24N,13.14E
1904-11-01,4.086,0.396,Berlin,Germany,52.24N,13.14E
1904-12-01,2.984,0.363,Berlin,Germany,52.24N,13.14E
1905-01-01,-1.505,0.687,Berlin,Germany,52.24N,13.14E
1905-02-01,2.119,0.457,Berlin,Germany,52.24N,13.14E
1905-03-01,5.196,0.394,Berlin,Germany,52.24N,13.14E
1905-04-01,6.204,0.381,Berlin,Germany,52.24N,13.14E
1905-05-01,13.734,0.266,Berlin,Germany,52.24N,13.14E
1905-06-01,18.623,0.368,Berlin,Germany,52.24N,13.14E
1905-07-01,19.704,0.339,Berlin,Germany,52.24N,13.14E
1905-08-01,17.96,0.138,Berlin,Germany,52.24N,13.14E
1905-09-01,13.839,0.266,Berlin,Germany,52.24N,13.14E
1905-10-01,5.478,0.387,Berlin,Germany,52.24N,13.14E
1905-11-01,3.869,0.312,Berlin,Germany,52.24N,13.14E
1905-12-01,1.558,0.397,Berlin,Germany,52.24N,13.14E
1906-01-01,1.157,0.448,Berlin,Germany,52.24N,13.14E
1906-02-01,1.42,0.371,Berlin,Germany,52.24N,13.14E
1906-03-01,3.17,0.171,Berlin,Germany,52.24N,13.14E
1906-04-01,9.608,0.267,Berlin,Germany,52.24N,13.14E
1906-05-01,15.071,0.539,Berlin,Germany,52.24N,13.14E
1906-06-01,16.278,0.41,Berlin,Germany,52.24N,13.14E
1906-07-01,18.523,0.377,Berlin,Germany,52.24N,13.14E
1906-08-01,17.885,0.22,Berlin,Germany,52.24N,13.14E
1906-09-01,14.033,0.25,Berlin,Germany,52.24N,13.14E
1906-10-01,9.819,0.324,Berlin,Germany,52.24N,13.14E
1906-11-01,7.141,0.227,Berlin,Germany,52.24N,13.14E
1906-12-01,-2.342,0.722,Berlin,Germany,52.24N,13.14E
1907-01-01,-0.606,0.402,Berlin,Germany,52.24N,13.14E
1907-02-01,-1.075,0.413,Berlin,Germany,52.24N,13.14E
1907-03-01,3.383,0.205,Berlin,Germany,52.24N,13.14E
1907-04-01,6.809,0.21,Berlin,Germany,52.24N,13.14E
1907-05-01,14.205,0.366,Berlin,Germany,52.24N,13.14E
1907-06-01,16.198,0.238,Berlin,Germany,52.24N,13.14E
1907-07-01,15.742,0.213,Berlin,Germany,52.24N,13.14E
1907-08-01,16.643,0.313,Berlin,Germany,52.24N,13.14E
1907-09-01,13.926,0.288,Berlin,Germany,52.24N,13.14E
1907-10-01,12.835,0.256,Berlin,Germany,52.24N,13.14E
1907-11-01,3.14,0.399,Berlin,Germany,52.24N,13.14E
1907-12-01,1.094,0.308,Berlin,Germany,52.24N,13.14E
1908-01-01,-1.288,0.564,Berlin,Germany,52.24N,13.14E
1908-02-01,1.962,0.472,Berlin,Germany,52.24N,13.14E
1908-03-01,3.54,0.296,Berlin,Germany,52.24N,13.14E
1908-04-01,6.171,0.25,Berlin,Germany,52.24N,13.14E
1908-05-01,14.143,0.506,Berlin,Germany,52.24N,13.14E
1908-06-01,18.035,0.301,Berlin,Germany,52.24N,13.14E
1908-07-01,18.876,0.403,Berlin,Germany,52.24N,13.14E
1908-08-01,16.204,0.244,Berlin,Germany,52.24N,13.14E
1908-09-01,13.253,0.352,Berlin,Germany,52.24N,13.14E
1908-10-01,8.979,0.413,Berlin,Germany,52.24N,13.14E
1908-11-01,1.461,0.423,Berlin,Germany,52.24N,13.14E
1908-12-01,-1.119,0.666,Berlin,Germany,52.24N,13.14E
1909-01-01,-1.249,0.467,Berlin,Germany,52.24N,13.14E
1909-02-01,-2.316,0.33,Berlin,Germany,52.24N,13.14E
1909-03-01,2.002,0.241,Berlin,Germany,52.24N,13.14E
1909-04-01,8.061,0.4,Berlin,Germany,52.24N,13.14E
1909-05-01,11.39,0.264,Berlin,Germany,52.24N,13.14E
1909-06-01,15.669,0.307,Berlin,Germany,52.24N,13.14E
1909-07-01,16.675,0.224,Berlin,Germany,52.24N,13.14E
1909-08-01,17.74,0.224,Berlin,Germany,52.24N,13.14E
1909-09-01,14.218,0.174,Berlin,Germany,52.24N,13.14E
1909-10-01,11.305,0.386,Berlin,Germany,52.24N,13.14E
1909-11-01,2.319,0.314,Berlin,Germany,52.24N,13.14E
1909-12-01,2.11,0.356,Berlin,Germany,52.24N,13.14E
1910-01-01,1.789,0.414,Berlin,Germany,52.24N,13.14E
1910-02-01,3.201,0.458,Berlin,Germany,52.24N,13.14E
1910-03-01,4.545,0.485,Berlin,Germany,52.24N,13.14E
1910-04-01,8.242,0.407,Berlin,Germany,52.24N,13.14E
1910-05-01,13.823,0.24,Berlin,Germany,52.24N,13.14E
1910-06-01,18.513,0.341,Berlin,Germany,52.24N,13.14E
1910-07-01,17.007,0.238,Berlin,Germany,52.24N,13.14E
1910-08-01,17.092,0.233,Berlin,Germany,52.24N,13.14E
1910-09-01,13.331,0.121,Berlin,Germany,52.24N,13.14E
1910-10-01,9.34,0.309,Berlin,Germany,52.24N,13.14E
1910-11-01,2.523,0.334,Berlin,Germany,52.24N,13.14E
1910-12-01,2.566,0.436,Berlin,Germany,52.24N,13.14E
1911-01-01,-0.071,0.398,Berlin,Germany,52.24N,13.14E
1911-02-01,1.642,0.34,Berlin,Germany,52.24N,13.14E
1911-03-01,4.777,0.27,Berlin,Germany,52.24N,13.14E
1911-04-01,8.469,0.391,Berlin,Germany,52.24N,13.14E
1911-05-01,14.583,0.318,Berlin,Germany,52.24N,13.14E
1911-06-01,16.452,0.294,Berlin,Germany,52.24N,13.14E
1911-07-01,20.062,0.372,Berlin,Germany,52.24N,13.14E
1911-08-01,20.649,0.419,Berlin,Germany,52.24N,13.14E
1911-09-01,15.392,0.411,Berlin,Germany,52.24N,13.14E
1911-10-01,9.118,0.305,Berlin,Germany,52.24N,13.14E
1911-11-01,5.13,0.288,Berlin,Germany,52.24N,13.14E
1911-12-01,2.485,0.499,Berlin,Germany,52.24N,13.14E
1912-01-01,-3.103,0.726,Berlin,Germany,52.24N,13.14E
1912-02-01,1.856,0.361,Berlin,Germany,52.24N,13.14E
1912-03-01,6.691,0.301,Berlin,Germany,52.24N,13.14E
1912-04-01,7.508,0.22,Berlin,Germany,52.24N,13.14E
1912-05-01,12.317,0.373,Berlin,Germany,52.24N,13.14E
1912-06-01,16.88,0.259,Berlin,Germany,52.24N,13.14E
1912-07-01,19.872,0.372,Berlin,Germany,52.24N,13.14E
1912-08-01,15.713,0.294,Berlin,Germany,52.24N,13.14E
1912-09-01,10.315,0.309,Berlin,Germany,52.24N,13.14E
1912-10-01,7.004,0.351,Berlin,Germany,52.24N,13.14E
1912-11-01,3.038,0.329,Berlin,Germany,52.24N,13.14E
1912-12-01,3.813,0.195,Berlin,Germany,52.24N,13.14E
1913-01-01,-0.708,0.217,Berlin,Germany,52.24N,13.14E
1913-02-01,1.775,0.278,Berlin,Germany,52.24N,13.14E
1913-03-01,6.679,0.131,Berlin,Germany,52.24N,13.14E
1913-04-01,8.947,0.243,Berlin,Germany,52.24N,13.14E
1913-05-01,13.647,0.239,Berlin,Germany,52.24N,13.14E
1913-06-01,16.151,0.174,Berlin,Germany,52.24N,13.14E
1913-07-01,16.484,0.226,Berlin,Germany,52.24N,13.14E
1913-08-01,16.374,0.503,Berlin,Germany,52.24N,13.14E
1913-09-01,14.061,0.479,Berlin,Germany,52.24N,13.14E
1913-10-01,9.799,0.35,Berlin,Germany,52.24N,13.14E
1913-11-01,6.977,0.396,Berlin,Germany,52.24N,13.14E
1913-12-01,2.77,0.285,Berlin,Germany,52.24N,13.14E
1914-01-01,-2.655,0.69,Berlin,Germany,52.24N,13.14E
1914-02-01,3.841,0.511,Berlin,Germany,52.24N,13.14E
1914-03-01,5.42,0.213,Berlin,Germany,52.24N,13.14E
1914-04-01,10.395,0.426,Berlin,Germany,52.24N,13.14E
1914-05-01,12.149,0.485,Berlin,Germany,52.24N,13.14E
1914-06-01,16.21,0.281,Berlin,Germany,52.24N,13.14E
1914-07-01,19.824,0.335,Berlin,Germany,52.24N,13.14E
1914-08-01,18.829,0.262,Berlin,Germany,52.24N,13.14E
1914-09-01,13.813,0.336,Berlin,Germany,52.24N,13.14E
1914-10-01,8.539,0.39,Berlin,Germany,52.24N,13.14E
1914-11-01,3.94,0.327,Berlin,Germany,52.24N,13.14E
1914-12-01,3.735,0.315,Berlin,Germany,52.24N,13.14E
1915-01-01,0.277,0.306,Berlin,Germany,52.24N,13.14E
1915-02-01,1.316,0.262,Berlin,Germany,52.24N,13.14E
1915-03-01,1.571,0.458,Berlin,Germany,52.24N,13.14E
1915-04-01,7.779,0.302,Berlin,Germany,52.24N,13.14E
1915-05-01,13.927,0.408,Berlin,Germany,52.24N,13.14E
1915-06-01,18.56,0.383,Berlin,Germany,52.24N,13.14E
1915-07-01,17.774,0.178,Berlin,Germany,52.24N,13.14E
1915-08-01,16.723,0.166,Berlin,Germany,52.24N,13.14E
1915-09-01,12.872,0.25,Berlin,Germany,52.24N,13.14E
1915-10-01,6.677,0.309,Berlin,Germany,52.24N,13.14E
1915-11-01,2.314,0.358,Berlin,Germany,52.24N,13.14E
1915-12-01,2.896,0.258,Berlin,Germany,52.24N,13.14E
1916-01-01,3.703,0.476,Berlin,Germany,52.24N,13.14E
1916-02-01,0.906,0.56,Berlin,Germany,52.24N,13.14E
1916-03-01,4.664,0.42,Berlin,Germany,52.24N,13.14E
1916-04-01,9.377,0.311,Berlin,Germany,52.24N,13.14E
1916-05-01,14.006,0.295,Berlin,Germany,52.24N,13.14E
1916-06-01,14.321,0.483,Berlin,Germany,52.24N,13.14E
1916-07-01,17.37,0.254,Berlin,Germany,52.24N,13.14E
1916-08-01,17.219,0.32,Berlin,Germany,52.24N,13.14E
1916-09-01,13.292,0.325,Berlin,Germany,52.24N,13.14E
1916-10-01,8.911,0.191,Berlin,Germany,52.24N,13.14E
1916-11-01,5.195,0.148,Berlin,Germany,52.24N,13.14E
1916-12-01,2.599,0.226,Berlin,Germany,52.24N,13.14E
1917-01-01,-2.542,0.518,Berlin,Germany,52.24N,13.14E
1917-02-01,-4.008,0.387,Berlin,Germany,52.24N,13.14E
1917-03-01,-0.147,0.316,Berlin,Germany,52.24N,13.14E
1917-04-01,5.321,0.297,Berlin,Germany,52.24N,13.14E
1917-05-01,15.465,0.29,Berlin,Germany,52.24N,13.14E
1917-06-01,20.4,0.228,Berlin,Germany,52.24N,13.14E
1917-07-01,18.747,0.462,Berlin,Germany,52.24N,13.14E
1917-08-01,18.583,0.333,Berlin,Germany,52.24N,13.14E
1917-09-01,15.624,0.425,Berlin,Germany,52.24N,13.14E
1917-10-01,8.62,0.218,Berlin,Germany,52.24N,13.14E
1917-11-01,5.859,0.414,Berlin,Germany,52.24N,13.14E
1917-12-01,-1.279,0.377,Berlin,Germany,52.24N,13.14E
1918-01-01,0.942,0.433,Berlin,Germany,52.24N,13.14E
1918-02-01,1.861,0.411,Berlin,Germany,52.24N,13.14E
1918-03-01,4.714,0.393,Berlin,Germany,52.24N,13.14E
1918-04-01,11.047,0.406,Berlin,Germany,52.24N,13.14E
1918-05-01,14.74,0.357,Berlin,Germany,52.24N,13.14E
1918-06-01,14.001,0.288,Berlin,Germany,52.24N,13.14E
1918-07-01,17.993,0.209,Berlin,Germany,52.24N,13.14E
1918-08-01,17.127,0.405,Berlin,Germany,52.24N,13.14E
1918-09-01,14.367,0.323,Berlin,Germany,52.24N,13.14E
1918-10-01,9.182,0.164,Berlin,Germany,52.24N,13.14E
1918-11-01,3.468,0.38,Berlin,Germany,52.24N,13.14E
1918-12-01,3.591,0.22,Berlin,Germany,52.24N,13.14E
1919-01-01,0.846,0.435,Berlin,Germany,52.24N,13.14E
1919-02-01,0.151,0.447,Berlin,Germany,52.24N,13.14E
1919-03-01,3.6,0.465,Berlin,Germany,52.24N,13.14E
1919-04-01,6.711,0.552,Berlin,Germany,52.24N,13.14E
1919-05-01,11.85,0.359,Berlin,Germany,52.24N,13.14E
1919-06-01,16.142,0.251,Berlin,Germany,52.24N,13.14E
1919-07-01,16.205,0.238,Berlin,Germany,52.24N,13.14E
1919-08-01,17.162,0.326,Berlin,Germany,52.24N,13.14E
1919-09-01,16.125,0.254,Berlin,Germany,52.24N,13.14E
1919-10-01,7.194,0.412,Berlin,Germany,52.24N,13.14E
1919-11-01,-0.158,0.315,Berlin,Germany,52.24N,13.14E
1919-12-01,0.19,0.313,Berlin,Germany,52.24N,13.14E
1920-01-01,1.968,0.253,Berlin,Germany,52.24N,13.14E
1920-02-01,3.435,0.355,Berlin,Germany,52.24N,13.14E
1920-03-01,7.264,0.341,Berlin,Germany,52.24N,13.14E
1920-04-01,10.997,0.654,Berlin,Germany,52.24N,13.14E
1920-05-01,14.959,0.378,Berlin,Germany,52.24N,13.14E
1920-06-01,15.502,0.373,Berlin,Germany,52.24N,13.14E
1920-07-01,19.17,0.329,Berlin,Germany,52.24N,13.14E
1920-08-01,16.816,0.24,Berlin,Germany,52.24N,13.14E
1920-09-01,14.012,0.218,Berlin,Germany,52.24N,13.14E
1920-10-01,6.833,0.293,Berlin,Germany,52.24N,13.14E
1920-11-01,1.326,0.657,Berlin,Germany,52.24N,13.14E
1920-12-01,0.147,0.566,Berlin,Germany,52.24N,13.14E
1921-01-01,4.455,0.299,Berlin,Germany,52.24N,13.14E
1921-02-01,1.765,0.214,Berlin,Germany,52.24N,13.14E
1921-03-01,7.144,0.308,Berlin,Germany,52.24N,13.14E
1921-04-01,8.949,0.311,Berlin,Germany,52.24N,13.14E
1921-05-01,15.159,0.219,Berlin,Germany,52.24N,13.14E
1921-06-01,15.188,0.358,Berlin,Germany,52.24N,13.14E
1921-07-01,19.361,0.347,Berlin,Germany,52.24N,13.14E
1921-08-01,18.853,0.301,Berlin,Germany,52.24N,13.14E
1921-09-01,14.225,0.31,Berlin,Germany,52.24N,13.14E
1921-10-01,11.293,0.355,Berlin,Germany,52.24N,13.14E
1921-11-01,0.521,0.277,Berlin,Germany,52.24N,13.14E
1921-12-01,0.469,0.371,Berlin,Germany,52.24N,13.14E
1922-01-01,-3.459,0.362,Berlin,Germany,52.24N,13.14E
1922-02-01,-1.512,0.219,Berlin,Germany,52.24N,13.14E
1922-03-01,4.19,0.183,Berlin,Germany,52.24N,13.14E
1922-04-01,6.452,0.245,Berlin,Germany,52.24N,13.14E
1922-05-01,14.249,0.375,Berlin,Germany,52.24N,13.14E
1922-06-01,16.596,0.136,Berlin,Germany,52.24N,13.14E
1922-07-01,17.1,0.178,Berlin,Germany,52.24N,13.14E
1922-08-01,16.35,0.342,Berlin,Germany,52.24N,13.14E
1922-09-01,12.195,0.424,Berlin,Germany,52.24N,13.14E
1922-10-01,5.33,0.362,Berlin,Germany,52.24N,13.14E
1922-11-01,3.084,0.35,Berlin,Germany,52.24N,13.14E
1922-12-01,2.51,0.173,Berlin,Germany,52.24N,13.14E
1923-01-01,2.06,0.231,Berlin,Germany,52.24N,13.14E
1923-02-01,0.185,0.25,Berlin,Germany,52.24N,13.14E
1923-03-01,5.658,0.238,Berlin,Germany,52.24N,13.14E
1923-04-01,7.099,0.214,Berlin,Germany,52.24N,13.14E
1923-05-01,12.717,0.228,Berlin,Germany,52.24N,13.14E
1923-06-01,12.187,0.254,Berlin,Germany,52.24N,13.14E
1923-07-01,19.329,0.242,Berlin,Germany,52.24N,13.14E
1923-08-01,16.572,0.24,Berlin,Germany,52.24N,13.14E
1923-09-01,14.316,0.146,Berlin,Germany,52.24N,13.14E
1923-10-01,11.131,0.265,Berlin,Germany,52.24N,13.14E
1923-11-01,3.81,0.236,Berlin,Germany,52.24N,13.14E
1923-12-01,-2.126,0.445,Berlin,Germany,52.24N,13.14E
1924-01-01,-3.223,0.321,Berlin,Germany,52.24N,13.14E
1924-02-01,-2.872,0.364,Berlin,Germany,52.24N,13.14E
1924-03-01,2.689,0.384,Berlin,Germany,52.24N,13.14E
1924-04-01,6.603,0.307,Berlin,Germany,52.24N,13.14E
1924-05-01,14.832,0.328,Berlin,Germany,52.24N,13.14E
1924-06-01,16.291,0.131,Berlin,Germany,52.24N,13.14E
1924-07-01,17.979,0.203,Berlin,Germany,52.24N,13.14E
1924-08-01,16.588,0.286,Berlin,Germany,52.24N,13.14E
1924-09-01,15.022,0.171,Berlin,Germany,52.24N,13.14E
1924-10-01,10.453,0.254,Berlin,Germany,52.24N,13.14E
1924-11-01,3.464,0.317,Berlin,Germany,52.24N,13.14E
1924-12-01,1.756,0.293,Berlin,Germany,52.24N,13.14E
1925-01-01,3.111,0.411,Berlin,Germany,52.24N,13.14E
1925-02-01,4.759,0.337,Berlin,Germany,52.24N,13.14E
1925-03-01,2.312,0.355,Berlin,Germany,52.24N,13.14E
1925-04-01,9.082,0.187,Berlin,Germany,52.24N,13.14E
1925-05-01,15.618,0.344,Berlin,Germany,52.24N,13.14E
1925-06-01,15.595,0.321,Berlin,Germany,52.24N,13.14E
1925-07-01,19.585,0.278,Berlin,Germany,52.24N,13.14E
1925-08-01,18.056,0.211,Berlin,Germany,52.24N,13.14E
1925-09-01,12.306,0.168,Berlin,Germany,52.24N,13.14E
1925-10-01,8.836,0.313,Berlin,Germany,52.24N,13.14E
1925-11-01,2.832,0.201,Berlin,Germany,52.24N,13.14E
1925-12-01,-0.213,0.299,Berlin,Germany,52.24N,13.14E
1926-01-01,-0.286,0.262,Berlin,Germany,52.24N,13.14E
1926-02-01,3.874,0.417,Berlin,Germany,52.24N,13.14E
1926-03-01,4.328,0.36,Berlin,Germany,52.24N,13.14E
1926-04-01,10.762,0.294,Berlin,Germany,52.24N,13.14E
1926-05-01,12.28,0.378,Berlin,Germany,52.24N,13.14E
1926-06-01,15.44,0.459,Berlin,Germany,52.24N,13.14E
1926-07-01,19.338,0.326,Berlin,Germany,52.24N,13.14E
1926-08-01,17.307,0.27,Berlin,Germany,52.24N,13.14E
1926-09-01,15.382,0.324,Berlin,Germany,52.24N,13.14E
1926-10-01,8.246,0.261,Berlin,Germany,52.24N,13.14E
1926-11-01,7.031,0.307,Berlin,Germany,52.24N,13.14E
1926-12-01,1.189,0.515,Berlin,Germany,52.24N,13.14E
1927-01-01,2.359,0.289,Berlin,Germany,52.24N,13.14E
1927-02-01,1.008,0.268,Berlin,Germany,52.24N,13.14E
1927-03-01,7.4,0.181,Berlin,Germany,52.24N,13.14E
1927-04-01,7.518,0.238,Berlin,Germany,52.24N,13.14E
1927-05-01,11.01,0.195,Berlin,Germany,52.24N,13.14E
1927-06-01,14.856,0.384,Berlin,Germany,52.24N,13.14E
1927-07-01,19.169,0.262,Berlin,Germany,52.24N,13.14E
1927-08-01,17.972,0.239,Berlin,Germany,52.24N,13.14E
1927-09-01,14.703,0.19,Berlin,Germany,52.24N,13.14E
1927-10-01,9.38,0.203,Berlin,Germany,52.24N,13.14E
1927-11-01,2.557,0.247,Berlin,Germany,52.24N,13.14E
1927-12-01,-3.239,0.362,Berlin,Germany,52.24N,13.14E
1928-01-01,1.441,0.232,Berlin,Germany,52.24N,13.14E
1928-02-01,2.601,0.316,Berlin,Germany,52.24N,13.14E
1928-03-01,3.189,0.265,Berlin,Germany,52.24N,13.14E
1928-04-01,8.079,0.19,Berlin,Germany,52.24N,13.14E
1928-05-01,11.087,0.219,Berlin,Germany,52.24N,13.14E
1928-06-01,14.671,0.315,Berlin,Germany,52.24N,13.14E
1928-07-01,19.057,0.255,Berlin,Germany,52.24N,13.14E
1928-08-01,17.05,0.165,Berlin,Germany,52.24N,13.14E
1928-09-01,13.678,0.276,Berlin,Germany,52.24N,13.14E
1928-10-01,9.435,0.211,Berlin,Germany,52.24N,13.14E
1928-11-01,7.213,0.317,Berlin,Germany,52.24N,13.14E
1928-12-01,-0.493,0.473,Berlin,Germany,52.24N,13.14E
1929-01-01,-4.646,0.256,Berlin,Germany,52.24N,13.14E
1929-02-01,-10.125,0.884,Berlin,Germany,52.24N,13.14E
1929-03-01,2.78,0.268,Berlin,Germany,52.24N,13.14E
1929-04-01,4.802,0.342,Berlin,Germany,52.24N,13.14E
1929-05-01,14.38,0.325,Berlin,Germany,52.24N,13.14E
1929-06-01,15.21,0.321,Berlin,Germany,52.24N,13.14E
1929-07-01,18.61,0.282,Berlin,Germany,52.24N,13.14E
1929-08-01,18.582,0.204,Berlin,Germany,52.24N,13.14E
1929-09-01,16.378,0.332,Berlin,Germany,52.24N,13.14E
1929-10-01,10.686,0.3,Berlin,Germany,52.24N,13.14E
1929-11-01,5.562,0.264,Berlin,Germany,52.24N,13.14E
1929-12-01,3.691,0.277,Berlin,Germany,52.24N,13.14E
1930-01-01,2.235,0.444,Berlin,Germany,52.24N,13.14E
1930-02-01,0.36,0.257,Berlin,Germany,52.24N,13.14E
1930-03-01,4.752,0.332,Berlin,Germany,52.24N,13.14E
1930-04-01,9.361,0.198,Berlin,Germany,52.24N,13.14E
1930-05-01,13.054,0.246,Berlin,Germany,52.24N,13.14E
1930-06-01,19.263,0.206,Berlin,Germany,52.24N,13.14E
1930-07-01,17.719,0.23,Berlin,Germany,52.24N,13.14E
1930-08-01,16.934,0.184,Berlin,Germany,52.24N,13.14E
1930-09-01,14.046,0.209,Berlin,Germany,52.24N,13.14E
1930-10-01,9.351,0.404,Berlin,Germany,52.24N,13.14E
1930-11-01,6.202,0.296,Berlin,Germany,52.24N,13.14E
1930-12-01,0.528,0.315,Berlin,Germany,52.24N,13.14E
1931-01-01,0.133,0.415,Berlin,Germany,52.24N,13.14E
1931-02-01,-0.88,0.34,Berlin,Germany,52.24N,13.14E
1931-03-01,0.62,0.173,Berlin,Germany,52.24N,13.14E
1931-04-01,6.167,0.151,Berlin,Germany,52.24N,13.14E
1931-05-01,16.65,0.318,Berlin,Germany,52.24N,13.14E
1931-06-01,16.551,0.297,Berlin,Germany,52.24N,13.14E
1931-07-01,18.572,0.258,Berlin,Germany,52.24N,13.14E
1931-08-01,17.028,0.223,Berlin,Germany,52.24N,13.14E
1931-09-01,11.716,0.318,Berlin,Germany,52.24N,13.14E
1931-10-01,8.031,0.214,Berlin,Germany,52.24N,13.14E
1931-11-01,4.728,0.224,Berlin,Germany,52.24N,13.14E
1931-12-01,0.933,0.379,Berlin,Germany,52.24N,13.14E
1932-01-01,1.835,0.384,Berlin,Germany,52.24N,13.14E
1932-02-01,-1.595,0.803,Berlin,Germany,52.24N,13.14E
1932-03-01,1.116,0.303,Berlin,Germany,52.24N,13.14E
1932-04-01,8.434,0.265,Berlin,Germany,52.24N,13.14E
1932-05-01,14.309,0.212,Berlin,Germany,52.24N,13.14E
1932-06-01,15.252,0.288,Berlin,Germany,52.24N,13.14E
1932-07-01,19.995,0.319,Berlin,Germany,52.24N,13.14E
1932-08-01,20.192,0.331,Berlin,Germany,52.24N,13.14E
1932-09-01,16.08,0.313,Berlin,Germany,52.24N,13.14E
1932-10-01,9.546,0.306,Berlin,Germany,52.24N,13.14E
1932-11-01,4.623,0.17,Berlin,Germany,52.24N,13.14E
1932-12-01,1.019,0.174,Berlin,Germany,52.24N,13.14E
1933-01-01,-3.166,0.329,Berlin,Germany,52.24N,13.14E
1933-02-01,0.189,0.269,Berlin,Germany,52.24N,13.14E
1933-03-01,5.981,0.241,Berlin,Germany,52.24N,13.14E
1933-04-01,7.037,0.243,Berlin,Germany,52.24N,13.14E
1933-05-01,13.045,0.078,Berlin,Germany,52.24N,13.14E
1933-06-01,15.887,0.31,Berlin,Germany,52.24N,13.14E
1933-07-01,19.605,0.302,Berlin,Germany,52.24N,13.14E
1933-08-01,18.119,0.208,Berlin,Germany,52.24N,13.14E
1933-09-01,14.566,0.277,Berlin,Germany,52.24N,13.14E
1933-10-01,9.404,0.203,Berlin,Germany,52.24N,13.14E
1933-11-01,3.033,0.236,Berlin,Germany,52.24N,13.14E
1933-12-01,-3.857,0.644,Berlin,Germany,52.24N,13.14E
1934-01-01,1.063,0.35,Berlin,Germany,52.24N,13.14E
